Make,Model,Year,Purchase Price,Repair Cost,Sales Price,Profit,Stock Days,Date Sold,Sales Person
Kia,Ceed,2019,18877.2,1481.74,21597.19,1238.25,70,10/05/2021,Joe Fats
Kia,Soul,2019,26433.02,1816.38,30482.87,2233.47,64,04/05/2021,Pat Byrne
BMW,X5,2018,43935.07,2964.63,45846.58,-1053.12,1,18/05/2021,Joe Fats
Skoda,Octavia,2020,29669.2,1086.65,32644,1888.15,74,24/05/2021,Santa Barry
Honda,Fit,2021,15046.74,1060.96,17268.19,1160.49,7,24/05/2021,Mary Black
Kia,Sorento,2021,58047.02,4409.53,68345.18,5888.63,40,20/05/2021,Santa Barry
BMW,3 Series,2018,35359.52,3481.2,38468.48,-372.24,76,17/05/2021,Jimmy The Fly
Kia,Soul,2018,26792.63,617.67,26800.48,-609.82,59,20/05/2021,Pat Byrne
Audi,A1,2021,28501.82,2770.74,32364.25,1091.69,2,20/05/2021,Mary Black
Skoda,Scala,2021,19278.58,321.42,20097.74,497.74,75,29/05/2021,Tony Long
Honda,Civic,2021,23706.63,2340.87,27821.74,1774.24,72,13/05/2021,Joe Fats
Honda,Fit,2020,13385.48,591.19,13439.3,-537.37,56,23/05/2021,Pat Byrne
Kia,Rio,2017,9827.15,116.52,10697.2,753.53,21,06/05/2021,Joe Fats
Skoda,Citigo,2019,12298.91,835.48,13247.6,113.21,67,31/05/2021,Mary Black
Audi,A3,2018,21415.08,860.7,21658.02,-617.76,3,24/05/2021,Pat Byrne
Audi,A4,2018,35712.13,592.04,38263.13,1958.96,90,26/05/2021,Pat Byrne
Skoda,Citigo,2021,15259.52,1332.49,18003.03,1411.02,30,18/05/2021,Tony Long
Kia,Rio,2021,18551.42,994.55,18569.66,-976.31,48,27/05/2021,Pat Byrne
Audi,A6,2021,73248.44,3655.03,75763.27,-1140.2,49,27/05/2021,Mary Black
Kia,Rio,2020,15546.66,504.62,17139.61,1088.33,50,08/05/2021,Pat Byrne
Skoda,Scala,2017,10539.09,705.01,11074.59,-169.51,52,06/05/2021,Mary Black
Kia,Soul,2021,34464.56,887.75,34574.23,-778.08,34,01/05/2021,Tony Long
Skoda,Scala,2021,19941.12,655.78,21588.26,991.36,90,20/05/2021,Mary Black
BMW,3 Series,2018,36818.28,3559.16,44022.32,3644.88,19,21/05/2021,Joe Fats
Honda,Fit,2017,7549.9,400.87,8381.51,430.74,55,20/05/2021,Jimmy The Fly
Audi,A5,2020,48127.6,2807.98,53776.03,2840.45,18,01/05/2021,Mary Black
Audi,A1,2017,16392.62,720.63,17299.86,186.61,22,09/05/2021,Tony Long
Kia,Sorento,2021,52639.99,4847.78,60235.14,2747.37,16,29/05/2021,Pat Byrne
Honda,Jazz,2021,29977.4,1598.17,33657.99,2082.42,14,16/05/2021,Santa Barry
BMW,3 Series,2020,42036.19,2847.24,47281.69,2398.26,71,24/05/2021,Santa Barry
BMW,7 Series,2020,57760.62,3392.75,65406.91,4253.54,29,26/05/2021,Joe Fats
BMW,7 Series,2021,66017.91,4421.45,67947.67,-2491.69,29,23/05/2021,Tony Long
Skoda,Octavia,2017,19343.81,1261.56,21132.6,527.23,85,13/05/2021,Santa Barry
BMW,5 Series,2020,49435,680.33,52202.14,2086.81,31,28/05/2021,Pat Byrne
Skoda,Citigo,2021,15302.78,710.68,16374.16,360.7,63,30/05/2021,Joe Fats
Skoda,Scala,2017,12125.27,773.38,13213.11,314.46,41,04/05/2021,Joe Fats
Skoda,Octavia,2018,24227.67,574.54,26053.2,1250.99,58,16/05/2021,Pat Byrne
Audi,A4,2021,53970.11,2963.76,62404.66,5470.79,3,18/05/2021,Pat Byrne
Skoda,Citigo,2017,8747.36,636.01,10108.27,724.9,59,01/05/2021,Mary Black
Skoda,Octavia,2017,20939.4,1206.4,22284.79,138.99,78,06/05/2021,Jimmy The Fly
Skoda,Octavia,2019,27694.89,1560.41,30309.47,1054.17,37,27/05/2021,Santa Barry
Skoda,Citigo,2017,8322.89,628.4,9474.63,523.34,60,06/05/2021,Santa Barry
BMW,X5,2019,49623.65,1551.86,52488.57,1313.06,2,03/05/2021,Mary Black
Skoda,Citigo,2017,8596.33,281.58,8995.55,117.64,52,04/05/2021,Santa Barry
Audi,A1,2021,28442.4,2230.93,30421.56,-251.77,20,31/05/2021,Joe Fats
Kia,Ceed,2020,22022.79,2031.32,24402.88,348.77,27,19/05/2021,Jimmy The Fly
Honda,Civic,2017,14111.2,262.14,14915.16,541.82,26,29/05/2021,Joe Fats
BMW,X5,2018,46407.31,3943.87,53297.37,2946.19,61,09/05/2021,Pat Byrne
Audi,A1,2018,18432.9,1109.2,19296.5,-245.6,80,22/05/2021,Joe Fats
Honda,Fit,2017,9099.52,399.73,10015.56,516.31,6,10/05/2021,Santa Barry
BMW,3 Series,2020,42298.65,2749.71,43697.65,-1350.71,29,27/05/2021,Tony Long
BMW,X5,2017,40764.23,1842.48,42181.88,-424.83,61,05/05/2021,Mary Black
Audi,A3,2018,21037.45,1878.79,23768.51,852.27,39,29/05/2021,Mary Black
Skoda,Citigo,2019,11463.75,339,12567.85,765.1,78,28/05/2021,Santa Barry
Audi,A3,2019,23953.48,1328.62,25738.82,456.72,37,18/05/2021,Tony Long
Honda,Jazz,2020,25799.78,1568.4,29098.25,1730.07,83,08/05/2021,Mary Black
Honda,Fit,2018,11124.18,687.08,11945.49,134.23,16,16/05/2021,Pat Byrne
BMW,7 Series,2020,59525.88,3304.41,62362.59,-467.7,66,19/05/2021,Tony Long
Skoda,Octavia,2021,32660.42,1418.21,34174.47,95.84,16,14/05/2021,Pat Byrne
Audi,A5,2020,51835.64,909.03,55499.58,2754.91,75,25/05/2021,Mary Black
BMW,3 Series,2020,45304.37,2096.89,52077.97,4676.71,29,25/05/2021,Tony Long
Kia,Ceed,2018,15487.94,406.11,16374.65,480.6,16,24/07/2021,Tony Long
BMW,1 Series,2017,21147.71,326.7,23467.94,1993.53,25,10/07/2021,Jimmy The Fly
Kia,Spotage,2021,41629.28,3363.15,44051.83,-940.6,4,01/07/2021,Joe Fats
Skoda,Scala,2020,18165.6,1280.3,19495.68,49.78,42,24/07/2021,Santa Barry
Audi,A1,2020,26112,430.9,26045.03,-497.87,42,25/07/2021,Pat Byrne
Audi,A1,2017,16997.54,423.74,17474.72,53.44,54,13/07/2021,Jimmy The Fly
BMW,1 Series,2017,17973.55,838.92,19739.24,926.77,32,28/07/2021,Mary Black
Honda,Jazz,2017,18714.31,756.53,20262.59,791.75,75,10/07/2021,Joe Fats
Kia,Rio,2019,14560.65,173.96,15920.66,1186.05,26,22/07/2021,Mary Black
Kia,Spotage,2018,25791.53,2512.28,29563.44,1259.63,74,19/07/2021,Tony Long
Honda,Fit,2018,9064.15,829.59,10802.94,909.2,17,01/07/2021,Pat Byrne
BMW,3 Series,2018,31039.42,662.56,32997.74,1295.76,82,31/07/2021,Tony Long
Skoda,Scala,2021,19867.56,698.08,20973.65,408.01,70,04/07/2021,Tony Long
Skoda,Citigo,2017,8506.9,525.71,8978.06,-54.55,77,16/07/2021,Joe Fats
Honda,Jazz,2021,30507.83,1577.12,33984.95,1900,35,05/07/2021,Joe Fats
Kia,Soul,2020,31951.97,1206.26,32058.57,-1099.66,31,14/07/2021,Santa Barry
Honda,Jazz,2021,28773.59,2463.25,30435.34,-801.5,56,02/07/2021,Tony Long
Honda,Jazz,2019,21558.96,921.09,24447.56,1967.51,39,23/07/2021,Mary Black
Kia,Ceed,2017,14355.91,794.22,14604.94,-545.19,68,17/07/2021,Jimmy The Fly
Honda,Fit,2019,11311.03,287.7,12121.33,522.6,29,01/07/2021,Tony Long
BMW,5 Series,2017,36329.21,1300.4,37189.19,-440.42,24,18/07/2021,Santa Barry
Kia,Spotage,2021,37140.75,1676.01,37132.36,-1684.4,6,26/07/2021,Joe Fats
Audi,A5,2019,45525.97,4357.61,53432.22,3548.64,90,07/07/2021,Pat Byrne
Skoda,Scala,2018,12845.09,315.42,13793.24,632.73,81,30/07/2021,Pat Byrne
Audi,A6,2019,50869.55,1745.37,56281.3,3666.38,58,19/07/2021,Santa Barry
Honda,Jazz,2019,24157.56,1759.34,27221.6,1304.7,35,31/07/2021,Tony Long
Skoda,Scala,2019,15197.86,1409.8,16797.07,189.41,53,22/07/2021,Pat Byrne
Audi,A5,2017,31255.36,762.07,34217.67,2200.24,57,31/07/2021,Santa Barry
Kia,Soul,2017,22552.7,1486.21,26248.88,2209.97,35,07/07/2021,Jimmy The Fly
Audi,A5,2021,54516.32,3124.41,60550.54,2909.81,88,21/07/2021,Joe Fats
Audi,A5,2020,53613.97,1441.33,52821.86,-2233.44,81,25/07/2021,Mary Black
BMW,3 Series,2021,50011.19,1923.12,55406.09,3471.78,41,29/07/2021,Joe Fats
Kia,Spotage,2021,37528.63,3018.89,39232.18,-1315.34,29,28/07/2021,Joe Fats
Skoda,Octavia,2018,23775,2268.39,25402.47,-640.92,42,16/07/2021,Joe Fats
Kia,Soul,2018,24617.28,2439.5,28959.38,1902.6,88,18/07/2021,Tony Long
Audi,A4,2019,41834.12,3564.86,44566.88,-832.1,41,06/07/2021,Santa Barry
Kia,Sorento,2017,31560.31,1213.78,33451.44,677.35,47,19/07/2021,Joe Fats
Audi,A6,2017,40985.1,686.31,44519.35,2847.94,64,06/07/2021,Pat Byrne
Honda,Jazz,2018,19860.14,1187.85,20192.22,-855.77,5,09/07/2021,Pat Byrne
Skoda,Citigo,2018,9164.01,254.47,10137.15,718.67,32,23/07/2021,Mary Black
Audi,A6,2018,43627.13,2341.27,48203.83,2235.43,81,31/07/2021,Joe Fats
Kia,Rio,2021,19606.14,1065.72,21301.38,629.52,58,26/07/2021,Joe Fats
Audi,A4,2019,42279.28,1273.83,45752.82,2199.71,77,10/07/2021,Santa Barry
Skoda,Citigo,2017,9555.93,898.02,10790.8,336.85,70,18/07/2021,Mary Black
BMW,1 Series,2021,33424.7,658.49,37276.45,3193.26,20,25/07/2021,Tony Long
Kia,Spotage,2019,28619.71,1292.63,31222.55,1310.21,46,26/07/2021,Pat Byrne
BMW,1 Series,2017,18305.57,1276.4,19607.5,25.53,58,09/07/2021,Joe Fats
Audi,A6,2020,56749.98,3876.07,64031.58,3405.53,35,17/07/2021,Tony Long
BMW,7 Series,2020,56904.56,2461.53,56798.8,-2567.29,21,17/07/2021,Mary Black
Honda,Civic,2019,18801.09,522.88,20048.89,724.92,41,13/07/2021,Tony Long
Audi,A5,2018,40490.66,3438.16,43166.9,-761.92,66,08/07/2021,Tony Long
Skoda,Scala,2020,16661.63,1321.79,18490.07,506.65,58,18/07/2021,Tony Long
Audi,A5,2017,31837.87,2123.13,34395.66,434.66,63,28/07/2021,Mary Black
Audi,A3,2021,29694.06,415.94,32269.07,2159.07,84,23/07/2021,Santa Barry
Kia,Rio,2019,15413.4,355.37,16009.91,241.14,56,29/07/2021,Santa Barry
Kia,Sorento,2021,54028.49,5249.44,64189.83,4911.9,82,05/07/2021,Joe Fats
Kia,Soul,2017,21977.32,2134.47,25099.12,987.33,34,30/07/2021,Tony Long
Kia,Ceed,2017,15860.78,599.64,17419.38,958.96,17,18/07/2021,Joe Fats
BMW,7 Series,2017,36546.17,3099.76,42357.46,2711.53,42,22/07/2021,Pat Byrne
Skoda,Citigo,2021,14614,315.94,16393.5,1463.56,34,20/07/2021,Tony Long
Audi,A4,2019,39126.6,3314.91,42829.15,387.64,30,12/07/2021,Jimmy The Fly
BMW,X5,2021,58614.08,3874.15,64941.51,2453.28,34,23/07/2021,Jimmy The Fly
Audi,A6,2019,59395.3,5365.19,62094.33,-2666.16,37,09/07/2021,Pat Byrne
Audi,A3,2019,24172.42,690.36,24472.22,-390.56,56,15/07/2021,Pat Byrne
Kia,Rio,2019,15117.34,860.11,15774.61,-202.84,89,07/07/2021,Santa Barry
BMW,7 Series,2021,66749.37,2050.52,74477.05,5677.16,14,21/07/2021,Mary Black
BMW,1 Series,2019,28626,972.92,29775.1,176.18,55,28/07/2021,Tony Long
Audi,A6,2021,66233.5,4820.64,70994.25,-59.89,69,31/07/2021,Joe Fats
Honda,Jazz,2017,16119.22,571.72,16047.92,-643.02,51,07/07/2021,Jimmy The Fly
BMW,X5,2019,51385.51,2372.16,53965.22,207.55,73,14/07/2021,Tony Long
Audi,A6,2018,49741.58,2243.27,54292.49,2307.64,1,13/07/2021,Mary Black
Kia,Ceed,2018,15153.96,1184.42,17211.96,873.58,81,16/07/2021,Mary Black
Honda,Accord,2019,23222.91,1992.44,26015.82,800.47,13,26/07/2021,Mary Black
Kia,Rio,2017,11411.86,302.32,11477.86,-236.32,47,24/07/2021,Jimmy The Fly
Skoda,Octavia,2021,35161.71,541.96,38683.28,2979.61,56,30/07/2021,Tony Long
Skoda,Scala,2021,19251.93,971.62,22130.65,1907.1,4,20/07/2021,Santa Barry
Audi,A4,2018,36865.77,820.9,36245.26,-1441.41,65,06/07/2021,Jimmy The Fly
Skoda,Octavia,2019,27240.95,1490.98,29162.01,430.08,8,27/07/2021,Tony Long
Audi,A5,2021,55019.2,4573.08,62758.77,3166.49,1,02/07/2021,Pat Byrne
Audi,A3,2021,32737.91,1857.27,36238.75,1643.57,50,09/07/2021,Joe Fats
Skoda,Scala,2021,19546.3,337.86,19905.73,21.57,53,31/07/2021,Mary Black
Skoda,Octavia,2018,22234.02,951.44,22136.79,-1048.67,51,27/07/2021,Santa Barry
Skoda,Octavia,2021,35235.6,3329.67,39730.58,1165.31,76,14/07/2021,Santa Barry
Honda,Civic,2018,15702.13,1249.18,17857.05,905.74,5,17/07/2021,Joe Fats
BMW,5 Series,2019,46310.27,2627.96,52086.44,3148.21,49,25/07/2021,Mary Black
Skoda,Octavia,2020,32811.34,345.14,34682.98,1526.5,70,03/07/2021,Pat Byrne
Honda,Fit,2021,14045.16,572.6,14403.31,-214.45,90,16/07/2021,Joe Fats
Audi,A4,2021,57632.33,1288.41,56206.99,-2713.75,90,05/07/2021,Joe Fats
BMW,5 Series,2021,58835.63,1243.9,63118.68,3039.15,86,23/07/2021,Pat Byrne
Honda,Jazz,2019,25392.22,1269.13,28472.68,1811.33,13,13/07/2021,Jimmy The Fly
BMW,3 Series,2020,40226.75,2531.73,41045.78,-1712.7,34,07/07/2021,Mary Black
Honda,Jazz,2018,22484.72,1898.57,25784.58,1401.29,30,18/07/2021,Joe Fats
Skoda,Citigo,2021,15186.91,700.3,15494.21,-393,81,21/07/2021,Jimmy The Fly
Audi,A3,2019,24217.1,1767.17,26040.19,55.92,34,20/07/2021,Pat Byrne
BMW,1 Series,2021,32952.39,2739.35,35309.87,-381.87,56,09/07/2021,Santa Barry
Audi,A6,2018,47327.69,4069.11,51042.03,-354.77,50,11/07/2021,Jimmy The Fly
Audi,A3,2017,19629.61,1254.86,22460.95,1576.48,76,26/07/2021,Mary Black
Kia,Spotage,2017,24433.66,1787.89,27547.48,1325.93,56,02/07/2021,Jimmy The Fly
Skoda,Scala,2019,14318.47,181,15314.4,814.93,52,11/07/2021,Jimmy The Fly
BMW,3 Series,2017,30088.71,1937.74,32821.81,795.36,47,30/07/2021,Jimmy The Fly
Skoda,Octavia,2021,34962.36,1084.21,34256.67,-1789.9,39,12/07/2021,Tony Long
Audi,A1,2019,21585.93,1459.32,22664.54,-380.71,33,21/07/2021,Mary Black
Kia,Spotage,2017,24211.32,380.1,26476.28,1884.86,84,09/07/2021,Santa Barry
Audi,A1,2020,25903.27,2110.51,30571.78,2558,82,18/07/2021,Joe Fats
Honda,Civic,2017,14147.69,1167.6,14558.96,-756.33,23,18/07/2021,Jimmy The Fly
Skoda,Octavia,2019,27952.22,1767.96,31996.59,2276.41,62,05/07/2021,Mary Black
Audi,A1,2020,26851.74,1811.29,27782.42,-880.61,1,29/07/2021,Jimmy The Fly
BMW,X5,2021,59574.81,5096.56,61739.09,-2932.28,3,16/07/2021,Jimmy The Fly
Skoda,Citigo,2020,12035.74,1064.14,13986.05,886.17,10,18/07/2021,Santa Barry
Honda,Jazz,2020,27646.13,950.58,27789.08,-807.63,6,01/07/2021,Mary Black
Honda,Jazz,2021,27498.3,2308.34,31377.68,1571.04,38,10/07/2021,Pat Byrne
Skoda,Scala,2019,16471.26,1086.41,19040.82,1483.15,59,07/07/2021,Tony Long
Audi,A5,2018,44647.01,2028.52,48244.29,1568.76,76,09/07/2021,Mary Black
Skoda,Octavia,2019,27757.37,2617.77,32698.56,2323.42,53,05/07/2021,Joe Fats
BMW,5 Series,2018,40025.22,1435.61,40613.15,-847.68,27,08/07/2021,Santa Barry
Honda,Fit,2019,12434.31,571.36,12858.13,-147.54,55,29/07/2021,Santa Barry
BMW,1 Series,2019,28433.05,1462.98,32055.07,2159.04,42,18/07/2021,Pat Byrne
BMW,1 Series,2018,25942.19,1050.72,28450.21,1457.3,43,11/07/2021,Santa Barry
Skoda,Octavia,2021,34896.11,1688.11,37250.96,666.74,51,22/07/2021,Tony Long
BMW,5 Series,2018,40471.85,3999.66,46310.98,1839.47,52,18/07/2021,Pat Byrne
Honda,Fit,2021,13524.9,213.76,13847.87,109.21,33,18/07/2021,Joe Fats
Audi,A3,2018,19317.12,1418.46,21732.31,996.73,19,24/07/2021,Jimmy The Fly
Kia,Rio,2020,17163.89,1286.09,20259.7,1809.72,74,28/07/2021,Mary Black
Skoda,Scala,2021,18343.49,1092.91,20243.04,806.64,57,28/07/2021,Tony Long
BMW,5 Series,2020,51212.1,3671.69,60031.08,5147.29,50,24/07/2021,Mary Black
Honda,Jazz,2021,30530.13,437.65,29868.75,-1099.03,1,27/07/2021,Mary Black
Audi,A1,2021,30174.32,1696.75,33611.73,1740.66,74,03/07/2021,Pat Byrne
Skoda,Octavia,2019,28022.34,1529.51,29642.89,91.04,41,18/07/2021,Tony Long
Kia,Ceed,2019,19300.24,1722.32,21849.61,827.05,14,18/07/2021,Jimmy The Fly
Audi,A3,2021,31555.97,1427.22,31692.56,-1290.63,15,08/07/2021,Mary Black
Honda,Accord,2020,28062.65,1277.61,29754.44,414.18,78,22/07/2021,Pat Byrne
Kia,Rio,2021,18459.29,1015.45,18975.17,-499.57,7,07/07/2021,Mary Black
Skoda,Octavia,2020,33009.56,1894.14,33254.15,-1649.55,30,21/07/2021,Santa Barry
BMW,7 Series,2018,52000.91,4979.21,55149.35,-1830.77,18,24/07/2021,Santa Barry
Kia,Spotage,2018,27383.07,329.34,27768.67,56.26,7,05/07/2021,Santa Barry
Skoda,Octavia,2018,25830.26,2391.58,29267.16,1045.32,2,08/07/2021,Santa Barry
Kia,Spotage,2018,28199.79,2008.51,32803.37,2595.07,73,16/07/2021,Jimmy The Fly
Kia,Soul,2019,31146.86,508.95,34124.31,2468.5,47,05/07/2021,Jimmy The Fly
Kia,Spotage,2018,29981.58,1709.89,33559.62,1868.15,46,26/07/2021,Pat Byrne
Skoda,Citigo,2020,12644.67,861.62,13851.46,345.17,76,27/07/2021,Jimmy The Fly
Audi,A5,2017,33664.27,2372.53,36870.91,834.11,16,25/07/2021,Mary Black
Audi,A1,2021,28634,303.43,31175.12,2237.69,70,01/07/2021,Mary Black
Honda,Jazz,2019,24241.08,809.78,25395.5,344.64,79,15/07/2021,Jimmy The Fly
Skoda,Octavia,2020,29232.76,1094.08,30832.46,505.62,62,11/07/2021,Mary Black
Honda,Jazz,2018,21926.06,2026.82,25394.55,1441.67,37,27/07/2021,Joe Fats
Skoda,Citigo,2018,9824.07,608.51,11230.04,797.46,23,21/07/2021,Pat Byrne
Audi,A6,2019,54331.6,3793.15,57021.77,-1102.98,66,17/07/2021,Tony Long
Skoda,Citigo,2019,11861.65,1053.49,13136.8,221.66,53,16/07/2021,Santa Barry
Skoda,Octavia,2021,36636.21,2111.68,38531.74,-216.15,60,07/07/2021,Pat Byrne
Honda,Civic,2021,23516.16,1006.1,26426.25,1903.99,77,15/07/2021,Jimmy The Fly
Kia,Ceed,2017,14083.3,1239.61,15157.09,-165.82,39,17/07/2021,Jimmy The Fly
Kia,Soul,2020,32292.78,2161.08,35184.57,730.71,90,23/07/2021,Santa Barry
Honda,Jazz,2017,17995.5,1787.68,21401.28,1618.1,2,06/07/2021,Jimmy The Fly
BMW,7 Series,2017,40251.04,3662.45,44959.74,1046.25,24,15/07/2021,Santa Barry
Honda,Jazz,2020,27097.9,2001.2,30018.77,919.67,85,25/07/2021,Santa Barry
BMW,1 Series,2018,21104.76,2065.75,24574.05,1403.54,31,24/07/2021,Tony Long
Honda,Accord,2017,18679.25,1305.2,19804.7,-179.75,71,06/07/2021,Tony Long
Skoda,Octavia,2020,28683.59,2634.68,29818.18,-1500.09,39,31/07/2021,Mary Black
Kia,Spotage,2020,35212.91,2834.49,40852.49,2805.09,63,28/07/2021,Tony Long
BMW,7 Series,2018,47302.8,1503.02,52496.96,3691.14,47,23/07/2021,Mary Black
Audi,A3,2019,27124.01,481.3,28839.25,1233.94,30,19/07/2021,Jimmy The Fly
Skoda,Citigo,2019,12480.38,237.98,12086.62,-631.74,2,27/07/2021,Joe Fats
BMW,7 Series,2021,67815.49,5799.49,71814.17,-1800.81,35,30/07/2021,Tony Long
BMW,5 Series,2021,58465.78,4719.91,62355.18,-830.51,74,17/07/2021,Santa Barry
Honda,Civic,2018,16928.42,782.86,18254.52,543.24,73,11/07/2021,Jimmy The Fly
BMW,3 Series,2017,25276.44,2468.95,28158.22,412.83,52,03/07/2021,Mary Black
BMW,7 Series,2019,54063.51,4019.09,56601.32,-1481.28,75,03/07/2021,Joe Fats
Skoda,Octavia,2020,32791.3,1245.41,35091.95,1055.24,69,10/07/2021,Tony Long
Skoda,Octavia,2021,34471.15,2037.91,34939.59,-1569.47,58,21/07/2021,Pat Byrne
Skoda,Scala,2018,13153.43,470.36,14048.51,424.72,85,28/07/2021,Mary Black
Kia,Ceed,2019,18666.71,233.83,18587.25,-313.29,20,25/07/2021,Jimmy The Fly
Audi,A1,2021,27430.9,1912.2,31082.28,1739.18,8,06/07/2021,Santa Barry
